Species,Source,References
Candidatus Kuenenia stuttgartiensis,Wastewater / freshwater,Schmid et al. 2001 ; Penton et al. 2006 
Candidatus Scalindua brodae,Wastewater (marine),Schmid et al. 2003
Candidatus Scalindua wagneri,Wastewater (marine),Schmid et al. 2003
Candidatus Scalindua sorokinii,Sea water,Kuypers et al. 2003; Schmid et al. 2003
Candidatus Scalindua marina,Marine sediments,Brandsma et al. 2011
Candidatus Scalindua profunda,Marine,Van de Vossenberg et al. 2013
Candidatus Scalindua arabica,Arabian sea,Woebken et al. 2008
Candidatus Scalindua Japonica,Marine,Oshiki et al. 2017
Candidatus Anammoxoglobus propionicus,Synthetic wastewater,Kartal et al. 2007
Candidatus Brocadia anammoxidans,Wastewater,Strous et al. 1999
Candidatus Brocadia sinica,Wastewater,Oshiki et al. 2011
Candidatus Brocadia fulgida,Wastewater,Kartal et al. 2004 ; Oshiki et al. 2011
Candidatus Brocadia sapporoensis,Sludge,Narita et al. 2017
Candidatus Brocadia caroliniensis,Swine wastewater,Magri et al. 2012
Candidatus Anammoxomicrobium moscowii,Wastewater sludge,Khramenkov et al. 2013
Candidatus Jettenia asiatica,Wastewater,Quan et al. 2008; Hu et al. 2011
Candidatus Jettenia caeni,Wastewater, Ali et al. 2015
